time,rain (mm),lat,lon
15-06-2011,1.013451219,30.5,79.5
16-06-2011,6.263255119,30.5,79.5
17-06-2011,0.352934778,30.5,79.5
18-06-2011,1.587872505,30.5,79.5
19-06-2011,0.529470861,30.5,79.5
20-06-2011,6.677641869,30.5,79.5
21-06-2011,1.393971443,30.5,79.5
22-06-2011,0,30.5,79.5
23-06-2011,5.028250217,30.5,79.5
24-06-2011,0,30.5,79.5
25-06-2011,0.176429749,30.5,79.5
26-06-2011,6.032932281,30.5,79.5
27-06-2011,14.19122124,30.5,79.5
28-06-2011,13.0564127,30.5,79.5
29-06-2011,52.20838547,30.5,79.5
30-06-2011,38.3137207,30.5,79.5
01-07-2011,70.42832947,30.5,79.5
02-07-2011,0,30.5,79.5
03-07-2011,0,30.5,79.5
04-07-2011,0,30.5,79.5
05-07-2011,1.587867618,30.5,79.5
06-07-2011,16.68807983,30.5,79.5
07-07-2011,0.64175421,30.5,79.5
08-07-2011,1.235008121,30.5,79.5
09-07-2011,3.422910213,30.5,79.5
10-07-2011,2.578431606,30.5,79.5
11-07-2011,8.14066124,30.5,79.5
12-07-2011,3.840376616,30.5,79.5
13-07-2011,0,30.5,79.5
14-07-2011,12.39811611,30.5,79.5
15-07-2011,10.24603844,30.5,79.5
16-07-2011,16.66387177,30.5,79.5
17-07-2011,47.68350601,30.5,79.5
18-07-2011,7.448438168,30.5,79.5
19-07-2011,0,30.5,79.5
20-07-2011,0.264644623,30.5,79.5
21-07-2011,52.68615723,30.5,79.5
22-07-2011,0.80000329,30.5,79.5
23-07-2011,1.718706369,30.5,79.5
24-07-2011,1.806067944,30.5,79.5
25-07-2011,5.893558979,30.5,79.5
26-07-2011,0,30.5,79.5
27-07-2011,1.193935513,30.5,79.5
28-07-2011,2.227221489,30.5,79.5
29-07-2011,1.342936754,30.5,79.5
30-07-2011,3.506498098,30.5,79.5
31-07-2011,2.38229084,30.5,79.5
01-08-2011,0.511817873,30.5,79.5
02-08-2011,0.176760346,30.5,79.5
03-08-2011,0,30.5,79.5
04-08-2011,11.91534901,30.5,79.5
05-08-2011,5.716457367,30.5,79.5
06-08-2011,1.082405686,30.5,79.5
07-08-2011,6.346764088,30.5,79.5
08-08-2011,15.38842487,30.5,79.5
09-08-2011,1.791216016,30.5,79.5
10-08-2011,2.592549562,30.5,79.5
11-08-2011,4.894908428,30.5,79.5
12-08-2011,7.744922161,30.5,79.5
13-08-2011,4.457880497,30.5,79.5
14-08-2011,14.83424282,30.5,79.5
15-08-2011,68.43486023,30.5,79.5
16-08-2011,222.2444458,30.5,79.5
17-08-2011,45.01779175,30.5,79.5
18-08-2011,38.28611755,30.5,79.5
19-08-2011,28.35067558,30.5,79.5
20-08-2011,9.212106705,30.5,79.5
21-08-2011,1.964295745,30.5,79.5
22-08-2011,0.399996728,30.5,79.5
23-08-2011,4.940487862,30.5,79.5
24-08-2011,9.387155533,30.5,79.5
25-08-2011,0.117843166,30.5,79.5
26-08-2011,2.670180082,30.5,79.5
27-08-2011,6.652447224,30.5,79.5
28-08-2011,0.705718994,30.5,79.5
29-08-2011,0,30.5,79.5
30-08-2011,2.117156982,30.5,79.5
31-08-2011,1.400658488,30.5,79.5
01-09-2011,2.753509998,30.5,79.5
02-09-2011,0,30.5,79.5
03-09-2011,2.252693892,30.5,79.5
04-09-2011,5.547427654,30.5,79.5
05-09-2011,0.400666744,30.5,79.5
06-09-2011,0.164980426,30.5,79.5
07-09-2011,0,30.5,79.5
08-09-2011,0.259639561,30.5,79.5
09-09-2011,19.90306854,30.5,79.5
10-09-2011,5.589818954,30.5,79.5
11-09-2011,18.34573555,30.5,79.5
12-09-2011,0.700329244,30.5,79.5
13-09-2011,0,30.5,79.5
14-09-2011,0,30.5,79.5
15-09-2011,2.646658897,30.5,79.5
16-09-2011,13.1474762,30.5,79.5
17-09-2011,9.527227402,30.5,79.5
18-09-2011,0,30.5,79.5
19-09-2011,0,30.5,79.5
20-09-2011,0,30.5,79.5
21-09-2011,0,30.5,79.5
22-09-2011,20.11298943,30.5,79.5
23-09-2011,0,30.5,79.5
24-09-2011,0,30.5,79.5
25-09-2011,2.999331951,30.5,79.5
26-09-2011,0,30.5,79.5
27-09-2011,0,30.5,79.5
28-09-2011,0,30.5,79.5
29-09-2011,0,30.5,79.5
30-09-2011,0,30.5,79.5
01-10-2011,0,30.5,79.5
02-10-2011,0,30.5,79.5
03-10-2011,0,30.5,79.5
04-10-2011,0,30.5,79.5
05-10-2011,0,30.5,79.5
06-10-2011,0,30.5,79.5
07-10-2011,0,30.5,79.5
08-10-2011,0,30.5,79.5
09-10-2011,1.587867618,30.5,79.5
10-10-2011,0,30.5,79.5
11-10-2011,0,30.5,79.5
12-10-2011,0,30.5,79.5
